Type,water- liters.day,Growth_Season,Temperature_C,Pot_Size,Light_Type,Soil_Type,Growth_Requirements,Care_Instructions,Water.ml_Notif/day,Growth_Tracker,Benefit
كركم طويل (Turmeric - Tall),1.66,Summer,13-32,ground,Indirect light,Sandy,Fertilize monthly,Avoid overwatering,1660,Fast (80%),Used in cooking as natural seasoning
نعناع فلفلي مزروع (Peppermint - Cultivated),2.65,Spring,17-29,medium,Indirect light,Sandy loam,Support stems/trellis,Keep soil evenly moist,2650,Medium-Fast (70%),Used in cooking as natural seasoning
زعتر مزروع (Thyme - Cultivated),2.88,Summer,19-28,ground,Partial shade,Clay,Support stems/trellis,Keep soil evenly moist,2880,Fast (80%),Aromatic and refreshing scent
يسرى أرجواني (Lovage - Purple),2.89,Winter,15-31,large,Full sun,Loamy,Mulch to retain moisture,"Water at base, not foliage",2890,Medium (60%),Contains antioxidants that reduce inflammation
حرف مزروع (Garden cress - Cultivated),0.4,Autumn,13-28,medium,Partial shade,Sandy loam,Deadhead spent blooms,Avoid overwatering,400,Medium-Fast (70%),Rich in vitamins and minerals
حلوى المروج مُجوّف (Meadowsweet - Hollow),0.98,Winter,13-27,large,Full sun,Sandy,Regular watering,"Water at base, not foliage",980,Medium (60%),Promote satiety and support weight control
سنع قزمي (Sage - Dwarf),1.89,Winter,16-33,medium,Full sun,Well-drained,Support stems/trellis,Protect from frost,1890,Medium (60%),Aromatic and refreshing scent
ريحان مدمج (Basil - Compact),2.11,Summer,16-33,ground,Full sun,Sandy loam,Mulch to retain moisture,Trim regularly for shape,2110,Medium (60%),Soothing and antimicrobial properties
بقدونس مدمج (Parsley - Compact),0.64,Winter,Oct-25,ground,Partial shade,Clay,Mulch to retain moisture,Trim regularly for shape,640,Medium (60%),Improves digestion and reduces bloating
ترنجان مُجوّف (Lemon balm - Hollow),2.37,Spring,Dec-35,ground,Indirect light,Sandy loam,Fertilize monthly,Keep soil evenly moist,2370,Fast (80%),High in vitamin C and antioxidants
حميض مزروع (Sorrel - Cultivated),2.93,Autumn,13-30,medium,Full sun,Sandy loam,Support stems/trellis,Keep soil evenly moist,2930,Medium (60%),High in vitamin C and antioxidants
حرف مدمج (Garden cress - Compact),0.68,Summer,16-28,large,Indirect light,Loamy,Support stems/trellis,Keep soil evenly moist,680,Medium-Fast (70%),Used in perfumes and decoration
راوند مدمج (Rhubarb - Compact),1.87,Summer,Dec-33,ground,Full sun,Sandy loam,Fertilize monthly,Trim regularly for shape,1870,Medium-Fast (70%),Promote satiety and support weight control
زنجبيل أرجواني (Ginger - Purple),2.68,Winter,17-34,ground,Indirect light,Clay,Fertilize monthly,Avoid overwatering,2680,Medium-Fast (70%),Improves digestion and reduces bloating
ريحان مزروع (Basil - Cultivated),2.51,Spring,18-29,large,Full sun,Loamy,Support stems/trellis,Avoid overwatering,2510,Medium-Fast (70%),Used in traditional herbal medicine
مردقوش عطري (Oregano - Fragrant),1.57,Winter,Nov-30,medium,Indirect light,Sandy,Fertilize monthly,Avoid overwatering,1570,Medium-Fast (70%),Improves digestion and reduces bloating
نعناع مزروع (Mint - Cultivated),0.83,Autumn,20-32,ground,Indirect light,Clay,Support stems/trellis,Avoid overwatering,830,Medium-Fast (70%),Used in cooking as natural seasoning
كزبرة مُجوّف (Coriander - Hollow),1.22,Autumn,19-33,medium,Full sun,Well-drained,Deadhead spent blooms,Avoid overwatering,1220,Slow (40%),Used in traditional herbal medicine
ترنجان ليموني (Lemon balm - Lemony),1.12,Winter,Nov-33,ground,Partial shade,Well-drained,Mulch to retain moisture,Trim regularly for shape,1120,Medium (60%),Boosts immunity and improves skin health
حرف أرجواني (Garden cress - Purple),2.72,Autumn,17-34,medium,Partial shade,Sandy loam,Regular watering,Keep soil evenly moist,2720,Medium (60%),Enhance biodiversity and store carbon
يسرى مزروع (Lovage - Cultivated),1.01,Spring,16-33,medium,Full sun,Sandy,Deadhead spent blooms,Protect from frost,1010,Medium-Fast (70%),Provides hydration and natural energy
إكليل الجبل طويل (Rosemary - Tall),1.86,Autumn,18-34,medium,Full sun,Loamy,Fertilize monthly,"Water at base, not foliage",1860,Slow (40%),Improves mood and well-being
نعناع بري طويل (Spearmint - Tall),1.61,Winter,13-32,large,Full sun,Well-drained,Fertilize monthly,"Water at base, not foliage",1610,Slow (40%),High in vitamin C and antioxidants
زنجبيل مزروع (Ginger - Cultivated),2.62,Spring,Nov-29,large,Partial shade,Well-drained,Regular watering,Keep soil evenly moist,2620,Fast (80%),Used in cooking as natural seasoning
حلوى المروج طويل (Meadowsweet - Tall),1.06,Spring,19-27,medium,Full sun,Well-drained,Deadhead spent blooms,Avoid overwatering,1060,Slow (40%),Some species purify indoor air
بقدونس بري (Parsley - Wild),0.39,Spring,14-28,large,Full sun,Loamy,Regular watering,Avoid overwatering,390,Fast (80%),Used in cooking as natural seasoning
بقدونس طويل (Parsley - Tall),0.91,Spring,Nov-24,large,Indirect light,Loamy,Deadhead spent blooms,Avoid overwatering,910,Slow (40%),Soothing and antimicrobial properties
زنجبيل مطبخي (Ginger - Culinary),2.37,Autumn,Dec-33,large,Partial shade,Loamy,Support stems/trellis,Avoid overwatering,2370,Slow (40%),Used in cooking as natural seasoning
مردقوش مطبخي (Oregano - Culinary),1.35,Summer,15-22,medium,Indirect light,Clay,Deadhead spent blooms,Keep soil evenly moist,1350,Medium-Fast (70%),Soothing and antimicrobial properties
راوند ليموني (Rhubarb - Lemony),1.86,Summer,15-32,large,Partial shade,Clay,Deadhead spent blooms,Protect from frost,1860,Slow (40%),Contains beneficial natural sugars
راوند طويل (Rhubarb - Tall),0.67,Summer,13-24,medium,Full sun,Sandy,Deadhead spent blooms,Avoid overwatering,670,Medium (60%),Purify air and absorb pollutants
نعناع فلفلي طويل (Peppermint - Tall),1.44,Autumn,Dec-36,ground,Partial shade,Sandy loam,Deadhead spent blooms,Protect from frost,1440,Slow (40%),Used in traditional herbal medicine
يسرى ليموني (Lovage - Lemony),2.71,Autumn,17-22,medium,Indirect light,Sandy loam,Regular watering,Keep soil evenly moist,2710,Fast (80%),Boosts immunity and improves skin health
مردقوش مُجوّف (Oregano - Hollow),1.54,Summer,20-33,large,Full sun,Loamy,Support stems/trellis,Avoid overwatering,1540,Slow (40%),Improves digestion and reduces bloating
حلوى المروج طبي (Meadowsweet - Medicinal),2.06,Autumn,15-22,ground,Partial shade,Sandy loam,Support stems/trellis,Protect from frost,2060,Medium (60%),Provides hydration and natural energy
كركم مطبخي (Turmeric - Culinary),1.95,Summer,18-23,large,Partial shade,Loamy,Fertilize monthly,Trim regularly for shape,1950,Medium (60%),Improves digestion and reduces bloating
زنجبيل ليموني (Ginger - Lemony),2.2,Summer,15-33,medium,Full sun,Sandy loam,Fertilize monthly,"Water at base, not foliage",2200,Medium-Fast (70%),Helps prevent chronic diseases
زنجبيل عطري (Ginger - Fragrant),2.7,Winter,15-36,medium,Full sun,Sandy,Regular watering,Protect from frost,2700,Medium (60%),Aromatic and refreshing scent
نعناع بري حار (Spearmint - Hot),2.85,Winter,13-31,ground,Full sun,Sandy loam,Fertilize monthly,"Water at base, not foliage",2850,Slow (40%),High in vitamin C and antioxidants
نعناع بري (Mint - Wild),2.7,Spring,15-36,medium,Partial shade,Sandy,Deadhead spent blooms,Keep soil evenly moist,2700,Medium (60%),Used in cooking as natural seasoning
حلوى المروج مطبخي (Meadowsweet - Culinary),2.86,Summer,18-25,ground,Indirect light,Loamy,Mulch to retain moisture,Keep soil evenly moist,2860,Medium (60%),Enhance biodiversity and store carbon
يسرى طويل (Lovage - Tall),1.31,Summer,15-32,ground,Full sun,Sandy loam,Deadhead spent blooms,Trim regularly for shape,1310,Medium-Fast (70%),Low in calories and ideal for diets
حرف مطبخي (Garden cress - Culinary),1.82,Summer,20-29,large,Indirect light,Sandy,Support stems/trellis,Trim regularly for shape,1820,Medium (60%),Used in traditional herbal medicine
إكليل الجبل مطبخي (Rosemary - Culinary),0.79,Spring,19-31,large,Full sun,Sandy loam,Support stems/trellis,Protect from frost,790,Slow (40%),Improves mood and well-being
نعناع مُجوّف (Mint - Hollow),2.54,Winter,Dec-30,large,Indirect light,Loamy,Deadhead spent blooms,Trim regularly for shape,2540,Fast (80%),Improves digestion and reduces bloating
حلوى المروج حار (Meadowsweet - Hot),1.07,Spring,17-22,large,Indirect light,Well-drained,Deadhead spent blooms,Keep soil evenly moist,1070,Fast (80%),Contains beneficial natural sugars
ريحان بري (Basil - Wild),2.16,Summer,20-33,medium,Partial shade,Loamy,Fertilize monthly,Trim regularly for shape,2160,Medium-Fast (70%),Soothing and antimicrobial properties
نعناع بري مطبخي (Spearmint - Culinary),1.08,Summer,19-25,medium,Full sun,Loamy,Mulch to retain moisture,Trim regularly for shape,1080,Slow (40%),High in vitamin C and antioxidants
راوند مُجوّف (Rhubarb - Hollow),2.56,Spring,Nov-28,medium,Indirect light,Well-drained,Support stems/trellis,Keep soil evenly moist,2560,Medium-Fast (70%),Contains beneficial natural sugars
مردقوش طويل (Oregano - Tall),0.8,Spring,20-30,ground,Full sun,Loamy,Deadhead spent blooms,"Water at base, not foliage",800,Medium (60%),Soothing and antimicrobial properties
شبت ليموني (Dill - Lemony),1.88,Autumn,18-26,large,Partial shade,Clay,Regular watering,"Water at base, not foliage",1880,Medium (60%),Helps prevent chronic diseases
إكليل الجبل قزمي (Rosemary - Dwarf),1.78,Autumn,Oct-34,ground,Indirect light,Sandy loam,Mulch to retain moisture,Trim regularly for shape,1780,Medium (60%),Adds natural beauty to gardens
حرف حار (Garden cress - Hot),2.78,Spring,Oct-23,medium,Indirect light,Clay,Deadhead spent blooms,"Water at base, not foliage",2780,Fast (80%),Purify air and absorb pollutants
كزبرة قزمي (Coriander - Dwarf),1.36,Summer,Oct-32,ground,Partial shade,Sandy,Mulch to retain moisture,Protect from frost,1360,Slow (40%),Used in traditional herbal medicine
ريحان عطري (Basil - Fragrant),2.06,Spring,16-30,medium,Partial shade,Sandy loam,Deadhead spent blooms,Keep soil evenly moist,2060,Medium (60%),Aromatic and refreshing scent
ترنجان طويل (Lemon balm - Tall),1.41,Spring,18-26,large,Indirect light,Well-drained,Regular watering,Trim regularly for shape,1410,Medium (60%),Boosts immunity and improves skin health
كركم مدمج (Turmeric - Compact),1.84,Spring,Dec-30,ground,Full sun,Clay,Fertilize monthly,Protect from frost,1840,Medium-Fast (70%),Aromatic and refreshing scent
كزبرة عطري (Coriander - Fragrant),1.02,Winter,16-24,ground,Partial shade,Well-drained,Fertilize monthly,Protect from frost,1020,Medium (60%),Aromatic and refreshing scent
نعناع فلفلي عطري (Peppermint - Fragrant),2.29,Summer,19-29,medium,Full sun,Well-drained,Deadhead spent blooms,Trim regularly for shape,2290,Fast (80%),Used in cooking as natural seasoning
حرف بري (Garden cress - Wild),0.34,Autumn,16-35,ground,Indirect light,Loamy,Regular watering,Keep soil evenly moist,340,Medium (60%),Soothing and antimicrobial properties
نعناع بري أرجواني (Spearmint - Purple),0.73,Autumn,17-28,medium,Indirect light,Loamy,Fertilize monthly,Avoid overwatering,730,Slow (40%),Provides hydration and natural energy
سنع مزروع (Sage - Cultivated),2.88,Winter,18-24,ground,Full sun,Sandy,Deadhead spent blooms,Protect from frost,2880,Fast (80%),Aromatic and refreshing scent
ترنجان عطري (Lemon balm - Fragrant),0.93,Summer,Dec-28,large,Full sun,Clay,Deadhead spent blooms,Protect from frost,930,Fast (80%),Helps prevent chronic diseases
حبة البركة مدمج (Nigella sativa - Compact),0.82,Spring,Nov-22,ground,Indirect light,Loamy,Support stems/trellis,Trim regularly for shape,820,Medium-Fast (70%),Promote satiety and support weight control
ترنجان طبي (Lemon balm - Medicinal),1.33,Winter,Oct-31,ground,Indirect light,Loamy,Support stems/trellis,Keep soil evenly moist,1330,Slow (40%),Contains beneficial natural sugars
يسرى مطبخي (Lovage - Culinary),1.49,Spring,20-26,ground,Full sun,Clay,Support stems/trellis,Keep soil evenly moist,1490,Fast (80%),Helps prevent chronic diseases
زعتر ليموني (Thyme - Lemony),2.81,Winter,18-35,ground,Indirect light,Sandy loam,Regular watering,Avoid overwatering,2810,Medium (60%),High in vitamin C and antioxidants
فاصوليا حمراء متأخر (Kidney bean - Late),1.17,Summer,20-30,ground,Partial shade,Clay,Deadhead spent blooms,Avoid overwatering,1170,Slow (40%),Good source of minerals and fiber
فاصوليا سوداء مرقط (Black bean - Speckled),1.95,Autumn,14-34,medium,Partial shade,Sandy,Mulch to retain moisture,Protect from frost,1950,Medium-Fast (70%),High in plant-based protein
عدس بني متأخر (Brown lentil - Late),2.46,Summer,16-34,large,Indirect light,Sandy loam,Deadhead spent blooms,Keep soil evenly moist,2460,Fast (80%),High in plant-based protein
فاصوليا حمراء قائم (Kidney bean - Bush),2.58,Autumn,13-29,large,Indirect light,Loamy,Regular watering,Protect from frost,2580,Medium-Fast (70%),Promote satiety and support weight control
فول قزمي (Broad bean - Dwarf),1.37,Summer,18-24,ground,Partial shade,Sandy,Mulch to retain moisture,Protect from frost,1370,Fast (80%),Promote satiety and support weight control
فاصوليا ليما عملاق (Lima bean - Giant),2.31,Summer,14-27,large,Full sun,Sandy loam,Support stems/trellis,"Water at base, not foliage",2310,Fast (80%),Good source of minerals and fiber
لوبيا عملاق (Cowpea - Giant),1.32,Autumn,17-28,ground,Partial shade,Well-drained,Regular watering,"Water at base, not foliage",1320,Medium-Fast (70%),Promote satiety and support weight control
عدس بني قزمي (Brown lentil - Dwarf),2.28,Winter,20-23,medium,Partial shade,Sandy,Mulch to retain moisture,Keep soil evenly moist,2280,Fast (80%),High in plant-based protein
فاصوليا ليما مبكر (Lima bean - Early),1.16,Summer,18-32,ground,Partial shade,Well-drained,Regular watering,"Water at base, not foliage",1160,Fast (80%),Support heart health and lower cholesterol
حمص قزمي (Chickpea - Dwarf),1.41,Spring,20-25,medium,Partial shade,Loamy,Fertilize monthly,Protect from frost,1410,Fast (80%),Support heart health and lower cholesterol
عدس قائم (Lentil - Bush),2.16,Autumn,15-29,medium,Indirect light,Sandy,Regular watering,Protect from frost,2160,Medium-Fast (70%),High in plant-based protein
بازلاء سكرية مرقط (Sugar snap pea - Speckled),2.27,Summer,13-23,ground,Indirect light,Sandy loam,Mulch to retain moisture,Avoid overwatering,2270,Medium-Fast (70%),Promote satiety and support weight control
لوبياء عين سود غني بالبروتين (Black-eyed pea - High-Protein),2.97,Summer,Nov-31,medium,Full sun,Loamy,Regular watering,Avoid overwatering,2970,Medium-Fast (70%),Fix nitrogen and enrich soil fertility
فول الصويا قزمي (Soybean - Dwarf),0.38,Summer,18-31,medium,Full sun,Loamy,Fertilize monthly,Protect from frost,380,Slow (40%),Promote satiety and support weight control
فاصوليا سوداء مبكر (Black bean - Early),1.05,Summer,13-22,medium,Indirect light,Sandy loam,Support stems/trellis,Protect from frost,1050,Medium-Fast (70%),High in plant-based protein
فاصوليا بيضاء متعريش (Cannellini bean - Climbing),1.32,Winter,15-26,medium,Indirect light,Sandy,Mulch to retain moisture,Protect from frost,1320,Fast (80%),Support heart health and lower cholesterol
عدس بني عملاق (Brown lentil - Giant),1.2,Winter,15-34,ground,Full sun,Clay,Fertilize monthly,Protect from frost,1200,Medium (60%),Good source of minerals and fiber
فول مدحرج غني بالبروتين (Fava bean - High-Protein),1.25,Spring,18-23,medium,Partial shade,Sandy,Deadhead spent blooms,Trim regularly for shape,1250,Fast (80%),Fix nitrogen and enrich soil fertility
بازلاء قائم (Pea - Bush),2.22,Autumn,14-28,large,Indirect light,Sandy,Support stems/trellis,Keep soil evenly moist,2220,Medium (60%),Support heart health and lower cholesterol
فاصوليا متأخر (Bean - Late),0.87,Summer,Nov-25,large,Partial shade,Sandy loam,Mulch to retain moisture,Trim regularly for shape,870,Medium (60%),Good source of minerals and fiber
فاصوليا سوداء متعريش (Black bean - Climbing),0.44,Autumn,14-35,large,Indirect light,Sandy,Fertilize monthly,Protect from frost,440,Slow (40%),Support heart health and lower cholesterol
فول مدحرج أحمر (Fava bean - Red),1.43,Summer,Oct-35,medium,Indirect light,Sandy loam,Deadhead spent blooms,Trim regularly for shape,1430,Medium-Fast (70%),Fix nitrogen and enrich soil fertility
فاصوليا ليما أبيض (Lima bean - White),0.41,Winter,20-26,ground,Indirect light,Sandy,Deadhead spent blooms,Keep soil evenly moist,410,Medium-Fast (70%),Good source of minerals and fiber
لوبياء عين سود متعريش (Black-eyed pea - Climbing),0.82,Spring,18-36,medium,Full sun,Sandy,Fertilize monthly,Protect from frost,820,Medium (60%),Support heart health and lower cholesterol
عدس أحمر مرقط (Red lentil - Speckled),2.7,Autumn,14-26,medium,Indirect light,Clay,Fertilize monthly,Avoid overwatering,2700,Medium (60%),Fix nitrogen and enrich soil fertility
عدس بني أحمر (Brown lentil - Red),0.88,Summer,17-35,medium,Indirect light,Sandy loam,Mulch to retain moisture,Protect from frost,880,Medium (60%),High in plant-based protein
لوبياء عين سود متأخر (Black-eyed pea - Late),0.33,Spring,16-28,ground,Partial shade,Clay,Support stems/trellis,Avoid overwatering,330,Medium (60%),Good source of minerals and fiber
ترمس عملاق (Lupin - Giant),0.54,Autumn,Nov-28,medium,Indirect light,Loamy,Deadhead spent blooms,Protect from frost,540,Medium-Fast (70%),Promote satiety and support weight control
فول مدحرج متأخر (Fava bean - Late),2.59,Autumn,20-29,large,Full sun,Sandy loam,Fertilize monthly,Keep soil evenly moist,2590,Slow (40%),Good source of minerals and fiber
حمص عملاق (Chickpea - Giant),2.93,Summer,18-23,ground,Partial shade,Sandy loam,Regular watering,Protect from frost,2930,Medium-Fast (70%),Support heart health and lower cholesterol
فاصوليا بيضاء أسود (Cannellini bean - Black),1.82,Spring,19-24,large,Full sun,Clay,Support stems/trellis,Avoid overwatering,1820,Medium-Fast (70%),Good source of minerals and fiber
لوبيا قزمي (Cowpea - Dwarf),0.61,Winter,15-36,ground,Full sun,Well-drained,Fertilize monthly,Trim regularly for shape,610,Slow (40%),High in plant-based protein
فول الصويا أسود (Soybean - Black),0.5,Winter,14-35,ground,Partial shade,Sandy loam,Mulch to retain moisture,Avoid overwatering,500,Fast (80%),Good source of minerals and fiber
فاصوليا سوداء أبيض (Black bean - White),2.89,Spring,20-34,medium,Full sun,Well-drained,Mulch to retain moisture,Avoid overwatering,2890,Slow (40%),Good source of minerals and fiber
فول الصويا أحمر (Soybean - Red),0.76,Winter,Dec-26,large,Full sun,Sandy,Support stems/trellis,"Water at base, not foliage",760,Fast (80%),Fix nitrogen and enrich soil fertility
حمص مبكر (Chickpea - Early),2.73,Spring,14-24,large,Partial shade,Sandy,Regular watering,"Water at base, not foliage",2730,Fast (80%),Promote satiety and support weight control
فول الصويا عملاق (Soybean - Giant),2.04,Spring,Oct-26,large,Indirect light,Well-drained,Deadhead spent blooms,"Water at base, not foliage",2040,Fast (80%),Good source of minerals and fiber
فاصوليا مرقط (Bean - Speckled),2.94,Summer,19-24,ground,Full sun,Sandy,Deadhead spent blooms,"Water at base, not foliage",2940,Slow (40%),Promote satiety and support weight control
عدس أحمر أحمر (Red lentil - Red),1.97,Autumn,19-32,ground,Indirect light,Loamy,Regular watering,Protect from frost,1970,Medium-Fast (70%),Promote satiety and support weight control
بازلاء ثلجية غني بالبروتين (Snow pea - High-Protein),2.11,Spring,17-31,medium,Full sun,Sandy,Mulch to retain moisture,Avoid overwatering,2110,Medium (60%),Support heart health and lower cholesterol
فول غني بالبروتين (Broad bean - High-Protein),0.42,Spring,19-31,medium,Indirect light,Clay,Deadhead spent blooms,"Water at base, not foliage",420,Medium (60%),Fix nitrogen and enrich soil fertility
فاصوليا بيضاء متأخر (Cannellini bean - Late),2.97,Summer,Oct-24,large,Partial shade,Sandy loam,Fertilize monthly,Keep soil evenly moist,2970,Medium (60%),Fix nitrogen and enrich soil fertility
بازلاء ثلجية مرقط (Snow pea - Speckled),1.23,Winter,17-36,ground,Partial shade,Loamy,Deadhead spent blooms,Keep soil evenly moist,1230,Medium-Fast (70%),Fix nitrogen and enrich soil fertility
فول أحمر (Broad bean - Red),1.24,Winter,Oct-30,medium,Indirect light,Sandy loam,Regular watering,Keep soil evenly moist,1240,Medium (60%),Fix nitrogen and enrich soil fertility
فاصوليا أبيض (Bean - White),0.82,Spring,Oct-32,large,Indirect light,Clay,Regular watering,Avoid overwatering,820,Fast (80%),Promote satiety and support weight control
عدس أبيض (Lentil - White),2.23,Spring,14-23,large,Partial shade,Sandy,Regular watering,Keep soil evenly moist,2230,Fast (80%),Promote satiety and support weight control
فاصوليا حمراء مبكر (Kidney bean - Early),1.26,Autumn,15-26,ground,Full sun,Loamy,Fertilize monthly,Avoid overwatering,1260,Medium (60%),Support heart health and lower cholesterol
فاصوليا حمراء أبيض (Kidney bean - White),2.48,Winter,16-36,large,Indirect light,Well-drained,Support stems/trellis,Trim regularly for shape,2480,Fast (80%),Good source of minerals and fiber
حمص أسود مبكر (Black chickpea - Early),2.57,Spring,16-36,ground,Full sun,Well-drained,Deadhead spent blooms,Avoid overwatering,2570,Slow (40%),High in plant-based protein
فاصوليا ليما أحمر (Lima bean - Red),2.99,Spring,14-28,large,Indirect light,Clay,Fertilize monthly,Avoid overwatering,2990,Fast (80%),Good source of minerals and fiber
ترمس أحمر (Lupin - Red),1.06,Spring,16-26,large,Indirect light,Sandy,Fertilize monthly,Protect from frost,1060,Slow (40%),Fix nitrogen and enrich soil fertility
لوبيا قائم (Cowpea - Bush),0.64,Summer,Dec-25,large,Indirect light,Sandy loam,Fertilize monthly,Trim regularly for shape,640,Fast (80%),Fix nitrogen and enrich soil fertility
فاصوليا سوداء قائم (Black bean - Bush),0.46,Summer,14-36,large,Indirect light,Well-drained,Regular watering,"Water at base, not foliage",460,Medium (60%),High in plant-based protein
بازلاء سكرية قائم (Sugar snap pea - Bush),2.97,Winter,17-26,large,Full sun,Well-drained,Fertilize monthly,Trim regularly for shape,2970,Slow (40%),High in plant-based protein
حمص أسود قائم (Black chickpea - Bush),1.1,Spring,16-23,medium,Partial shade,Sandy loam,Deadhead spent blooms,Keep soil evenly moist,1100,Slow (40%),Support heart health and lower cholesterol
عدس أسود (Lentil - Black),1.72,Summer,19-32,ground,Partial shade,Well-drained,Deadhead spent blooms,"Water at base, not foliage",1720,Medium (60%),Promote satiety and support weight control
لوبياء عين سود أبيض (Black-eyed pea - White),1.34,Autumn,19-35,medium,Partial shade,Sandy,Support stems/trellis,"Water at base, not foliage",1340,Fast (80%),High in plant-based protein
فاصوليا قزمي (Bean - Dwarf),2.18,Summer,Oct-25,ground,Full sun,Well-drained,Deadhead spent blooms,Keep soil evenly moist,2180,Slow (40%),Good source of minerals and fiber
عدس متأخر (Lentil - Late),1.93,Summer,Oct-34,large,Full sun,Clay,Mulch to retain moisture,Avoid overwatering,1930,Slow (40%),High in plant-based protein
حمص أخضر متعريش (Green chickpea - Climbing),1.37,Autumn,14-27,ground,Partial shade,Sandy loam,Support stems/trellis,"Water at base, not foliage",1370,Slow (40%),Support heart health and lower cholesterol
حمص أخضر غني بالبروتين (Green chickpea - High-Protein),1,Winter,Dec-34,ground,Partial shade,Sandy loam,Deadhead spent blooms,Avoid overwatering,1000,Fast (80%),Fix nitrogen and enrich soil fertility
فاصوليا سوداء أحمر (Black bean - Red),0.77,Spring,19-26,medium,Partial shade,Loamy,Fertilize monthly,Keep soil evenly moist,770,Slow (40%),Good source of minerals and fiber
فاصوليا ليما أسود (Lima bean - Black),0.46,Autumn,20-29,medium,Full sun,Well-drained,Fertilize monthly,"Water at base, not foliage",460,Medium-Fast (70%),High in plant-based protein
فاصوليا بيضاء عملاق (Cannellini bean - Giant),1.04,Winter,17-32,ground,Partial shade,Well-drained,Support stems/trellis,Trim regularly for shape,1040,Slow (40%),Promote satiety and support weight control
بازلاء سكرية قزمي (Sugar snap pea - Dwarf),1.99,Autumn,14-28,large,Full sun,Sandy loam,Mulch to retain moisture,Keep soil evenly moist,1990,Medium-Fast (70%),Promote satiety and support weight control
فول متأخر (Broad bean - Late),1.14,Spring,18-36,ground,Partial shade,Sandy loam,Regular watering,Trim regularly for shape,1140,Medium (60%),High in plant-based protein
حمص أخضر قائم (Green chickpea - Bush),1.11,Summer,Nov-33,medium,Partial shade,Sandy loam,Support stems/trellis,Trim regularly for shape,1110,Slow (40%),Promote satiety and support weight control
بازلاء سكرية عملاق (Sugar snap pea - Giant),2.57,Autumn,14-36,medium,Indirect light,Sandy loam,Fertilize monthly,Trim regularly for shape,2570,Medium-Fast (70%),Good source of minerals and fiber
فول الصويا أبيض (Soybean - White),1.86,Winter,20-32,large,Partial shade,Well-drained,Support stems/trellis,Trim regularly for shape,1860,Slow (40%),High in plant-based protein
فاصوليا غني بالبروتين (Bean - High-Protein),1.56,Spring,Nov-23,ground,Indirect light,Sandy,Fertilize monthly,"Water at base, not foliage",1560,Medium-Fast (70%),Promote satiety and support weight control
عدس بني قائم (Brown lentil - Bush),0.62,Summer,20-26,ground,Full sun,Sandy,Regular watering,Avoid overwatering,620,Slow (40%),High in plant-based protein
بازلاء ثلجية أسود (Snow pea - Black),2.37,Summer,19-23,ground,Full sun,Clay,Regular watering,"Water at base, not foliage",2370,Medium (60%),Fix nitrogen and enrich soil fertility
بازلاء أبيض (Pea - White),1.04,Summer,16-35,medium,Indirect light,Sandy,Support stems/trellis,"Water at base, not foliage",1040,Slow (40%),Fix nitrogen and enrich soil fertility
فاصوليا سوداء عملاق (Black bean - Giant),1.56,Spring,Oct-34,ground,Indirect light,Clay,Deadhead spent blooms,Keep soil evenly moist,1560,Medium-Fast (70%),High in plant-based protein
ترمس غني بالبروتين (Lupin - High-Protein),1.67,Winter,17-30,ground,Indirect light,Sandy,Mulch to retain moisture,Protect from frost,1670,Medium-Fast (70%),Fix nitrogen and enrich soil fertility
بازلاء ثلجية قزمي (Snow pea - Dwarf),0.83,Summer,18-28,ground,Partial shade,Well-drained,Fertilize monthly,Protect from frost,830,Medium (60%),Promote satiety and support weight control
فاصوليا بيضاء أبيض (Cannellini bean - White),2.01,Autumn,Oct-29,large,Full sun,Sandy,Regular watering,"Water at base, not foliage",2009,Medium (60%),Support heart health and lower cholesterol
بازلاء سكرية أسود (Sugar snap pea - Black),2.94,Winter,Nov-36,large,Full sun,Clay,Support stems/trellis,Trim regularly for shape,2940,Fast (80%),High in plant-based protein
فول مرقط (Broad bean - Speckled),1.65,Summer,14-32,large,Indirect light,Sandy,Fertilize monthly,"Water at base, not foliage",1650,Slow (40%),Fix nitrogen and enrich soil fertility
فاصوليا حمراء مرقط (Kidney bean - Speckled),0.39,Summer,13-36,large,Full sun,Sandy,Regular watering,"Water at base, not foliage",390,Fast (80%),Support heart health and lower cholesterol
لوبياء عين سود مبكر (Black-eyed pea - Early),2.71,Winter,20-26,ground,Full sun,Sandy,Fertilize monthly,Keep soil evenly moist,2710,Medium-Fast (70%),Promote satiety and support weight control
فول قائم (Broad bean - Bush),2.84,Autumn,20-32,large,Partial shade,Well-drained,Mulch to retain moisture,Avoid overwatering,2840,Medium-Fast (70%),Promote satiety and support weight control
فول مدحرج مرقط (Fava bean - Speckled),2.2,Autumn,17-23,medium,Full sun,Clay,Support stems/trellis,Avoid overwatering,2200,Fast (80%),Promote satiety and support weight control
فاصوليا ليما متعريش (Lima bean - Climbing),1.5,Spring,20-36,large,Full sun,Clay,Fertilize monthly,Avoid overwatering,1500,Medium (60%),High in plant-based protein
لوبيا غني بالبروتين (Cowpea - High-Protein),0.47,Spring,20-33,large,Indirect light,Sandy loam,Fertilize monthly,"Water at base, not foliage",470,Medium-Fast (70%),Support heart health and lower cholesterol
بازلاء سكرية مبكر (Sugar snap pea - Early),0.62,Winter,Dec-34,medium,Indirect light,Well-drained,Regular watering,Keep soil evenly moist,620,Slow (40%),Support heart health and lower cholesterol
